"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Iran (Islamic Republic of)","Both sexes","21.8","21.81571","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Male","66.4","66.43359","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Male","58.5","58.54900","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Iraq","Male","17.0","17.01357","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Male","67.8","67.75845","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Male","59.8","59.78924","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Iraq","Male","17.5","17.54575","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Male","67.3","67.32210","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Male","59.3","59.29839","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Iraq","Male","17.9","17.88577","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Male","69.9","69.92992","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Male","61.6","61.62590","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Iraq","Male","17.6","17.61909","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Female","71.3","71.25191","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Female","60.6","60.57950","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Iraq","Female","19.6","19.56770","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Female","72.8","72.79007","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Female","62.0","62.00471","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Iraq","Female","20.0","20.02191","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Female","73.4","73.40775","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Female","62.4","62.38347","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Iraq","Female","20.5","20.49473","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Female","75.0","74.96682","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Female","63.7","63.70298","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Iraq","Female","20.7","20.65984","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Both sexes","68.8","68.77211","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Iraq","Both sexes","59.5","59.52388","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Iraq","Both sexes","18.3","18.30223","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Both sexes","70.2","70.24248","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Iraq","Both sexes","60.9","60.87816","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Iraq","Both sexes","18.8","18.81914","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Both sexes","70.3","70.29305","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Iraq","Both sexes","60.8","60.80275","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Iraq","Both sexes","19.2","19.23528","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Both sexes","72.4","72.42317","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Iraq","Both sexes","62.7","62.65887","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Iraq","Both sexes","19.2","19.18437","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Iceland","Male","77.7","77.74491","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Iceland","Male","69.3","69.27760","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Iceland","Male","21.2","21.18249","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Iceland","Male","80.0","80.02026","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Iceland","Male","71.1","71.06748","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Iceland","Male","22.7","22.73277","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Iceland","Male","80.7","80.68710","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Iceland","Male","71.7","71.68018","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Iceland","Male","23.5","23.45096","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Iceland","Male","80.8","80.81141","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Iceland","Male","71.7","71.69730","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Iceland","Male","23.7","23.70792","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Iceland","Female","81.6","81.63809","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Iceland","Female","70.3","70.33992","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Iceland","Female","24.0","23.96668","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Iceland","Female","83.3","83.33782","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Iceland","Female","71.8","71.76790","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Iceland","Female","25.0","25.01822","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Iceland","Female","83.6","83.56476","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Iceland","Female","72.1","72.09724","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Iceland","Female","25.3","25.29009","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Iceland","Female","83.9","83.86916","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Iceland","Female","72.3","72.26828","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Iceland","Female","25.5","25.53747","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Iceland","Both sexes","79.7","79.70157","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Iceland","Both sexes","69.8","69.82331","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Iceland","Both sexes","22.6","22.62352","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Iceland","Both sexes","81.7","81.68404","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Iceland","Both sexes","71.4","71.43124","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Iceland","Both sexes","23.9","23.91312","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Iceland","Both sexes","82.1","82.13903","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Iceland","Both sexes","71.9","71.90189","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Iceland","Both sexes","24.4","24.40782","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Iceland","Both sexes","82.3","82.32826","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Iceland","Both sexes","72.0","71.98051","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Iceland","Both sexes","24.6","24.63693","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Israel","Male","76.4","76.35535","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Israel","Male","68.4","68.42462","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Israel","Male","20.6","20.56894","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Israel","Male","79.6","79.61967","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Israel","Male","70.9","70.92348","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Israel","Male","22.8","22.80171","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Israel","Male","80.0","79.95578","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Israel","Male","71.3","71.30164","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Israel","Male","22.9","22.87366","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Israel","Male","80.8","80.79258","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Israel","Male","72.0","71.97105","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Israel","Male","23.6","23.62011","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Israel","Female","80.7","80.66427","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Israel","Female","69.9","69.94100","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Israel","Female","23.1","23.12850","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Israel","Female","83.3","83.34052","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Israel","Female","71.8","71.83548","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Israel","Female","25.3","25.30687","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Israel","Female","83.8","83.79334","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Israel","Female","72.3","72.32088","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Israel","Female","25.6","25.58589","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Israel","Female","84.4","84.35995","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Israel","Female","72.7","72.74494","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Israel","Female","26.0","26.03428","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Israel","Both sexes","78.6","78.57471","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Israel","Both sexes","69.2","69.21453","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Israel","Both sexes","21.9","21.94996","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Israel","Both sexes","81.6","81.55505","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Israel","Both sexes","71.4","71.41578","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Israel","Both sexes","24.2","24.15298","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Israel","Both sexes","81.9","81.93443","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Israel","Both sexes","71.8","71.84209","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Israel","Both sexes","24.3","24.31451","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Israel","Both sexes","82.6","82.62151","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Israel","Both sexes","72.4","72.37872","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Israel","Both sexes","24.9","24.89724","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Italy","Male","76.4","76.40755","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Italy","Male","67.6","67.56302","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Italy","Male","20.3","20.28382","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Italy","Male","79.4","79.37474","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Italy","Male","70.0","69.97733","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Italy","Male","22.4","22.35595","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Italy","Male","80.0","80.00161","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Italy","Male","70.7","70.65452","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Italy","Male","22.7","22.74619","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Italy","Male","80.9","80.91323","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Italy","Male","71.2","71.16368","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Italy","Male","23.4","23.35777","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Italy","Female","82.1","82.14725","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Italy","Female","70.4","70.39314","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Italy","Female","24.5","24.47219","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Italy","Female","84.2","84.22002","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Italy","Female","72.2","72.18626","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Italy","Female","26.1","26.09557","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Italy","Female","84.3","84.25867","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Italy","Female","72.4","72.36314","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Italy","Female","26.0","26.00781","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Italy","Female","84.9","84.89528","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Italy","Female","72.6","72.58755","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Italy","Female","26.5","26.52769","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Italy","Both sexes","79.4","79.36485","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Italy","Both sexes","69.0","69.03748","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Italy","Both sexes","22.5","22.53851","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Italy","Both sexes","81.9","81.89587","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Italy","Both sexes","71.1","71.14208","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Italy","Both sexes","24.4","24.36534","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Italy","Both sexes","82.2","82.20576","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Italy","Both sexes","71.6","71.55554","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Italy","Both sexes","24.5","24.48475","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Italy","Both sexes","83.0","82.97414","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Italy","Both sexes","71.9","71.91969","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Italy","Both sexes","25.0","25.03944","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Jamaica","Male","72.0","72.04784","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Jamaica","Male","64.3","64.28630","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Jamaica","Male","19.7","19.71922","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Jamaica","Male","73.3","73.27067","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Jamaica","Male","65.3","65.27200","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Jamaica","Male","19.7","19.65390","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Jamaica","Male","74.1","74.10396","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Jamaica","Male","65.9","65.86466","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Jamaica","Male","19.9","19.86732","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Jamaica","Male","74.4","74.35626","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Jamaica","Male","65.9","65.92520","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Jamaica","Male","20.1","20.07156","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Jamaica","Female","76.5","76.50031","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Jamaica","Female","66.6","66.59507","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Jamaica","Female","22.3","22.27983","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Jamaica","Female","78.5","78.51085","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Jamaica","Female","68.0","68.03664","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Jamaica","Female","23.8","23.78668","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Jamaica","Female","77.7","77.71300","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Jamaica","Female","67.4","67.42108","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Jamaica","Female","23.0","22.95153","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Jamaica","Female","77.7","77.68497","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Jamaica","Female","67.3","67.25481","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Jamaica","Female","22.6","22.63009","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Jamaica","Both sexes","74.2","74.22007","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Jamaica","Both sexes","65.4","65.40482","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Jamaica","Both sexes","21.0","20.99153","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Jamaica","Both sexes","75.8","75.76660","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Jamaica","Both sexes","66.6","66.56333","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Jamaica","Both sexes","21.6","21.63150","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Jamaica","Both sexes","75.9","75.85057","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Jamaica","Both sexes","66.6","66.59290","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Jamaica","Both sexes","21.4","21.36091","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Jamaica","Both sexes","76.0","75.97828","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Jamaica","Both sexes","66.6","66.55019","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Jamaica","Both sexes","21.3","21.32162","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Male","73.1","73.05819","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Male","65.0","64.95344","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Jordan","Male","19.5","19.54422","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Male","75.6","75.58890","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Male","67.1","67.10648","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Jordan","Male","20.5","20.52635","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Male","77.0","76.95224","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Male","68.0","68.04247","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Jordan","Male","21.5","21.51323","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Male","77.0","77.02438","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Male","68.1","68.05397","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Jordan","Male","21.6","21.56149","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Female","72.5","72.48032","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Female","62.3","62.26978","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Jordan","Female","17.9","17.94638","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Female","77.6","77.61830","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Female","66.2","66.22441","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Jordan","Female","21.4","21.44251","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Female","78.8","78.76654","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Female","67.2","67.16661","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Jordan","Female","22.1","22.10253","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Female","78.8","78.78378","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Female","67.2","67.16886","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Jordan","Female","22.1","22.07487","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Both sexes","72.6","72.64991","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Jordan","Both sexes","63.6","63.56261","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Jordan","Both sexes","18.6","18.61334","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Both sexes","76.6","76.58584","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","Jordan","Both sexes","66.7","66.67464","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","Jordan","Both sexes","21.0","20.98819","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Both sexes","77.8","77.82230","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","Jordan","Both sexes","67.6","67.59341","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","Jordan","Both sexes","21.8","21.78687","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Both sexes","77.9","77.87197","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","Jordan","Both sexes","67.6","67.60002","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","Jordan","Both sexes","21.8","21.80557","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Japan","Male","77.7","77.68712","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Japan","Male","69.5","69.46229","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Japan","Male","21.3","21.32460","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Japan","Male","79.5","79.46046","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Japan","Male","71.1","71.14803","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Japan","Male","22.6","22.56198","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Japan","Male","80.7","80.69969","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Japan","Male","72.0","72.03889","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Japan","Male","23.4","23.37012","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Japan","Male","81.5","81.48871","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Japan","Male","72.6","72.63503","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Japan","Male","23.9","23.94869","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Japan","Female","84.4","84.37168","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Japan","Female","73.5","73.54464","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Japan","Female","26.6","26.58672","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Japan","Female","85.8","85.76836","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Japan","Female","74.7","74.69646","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Japan","Female","27.7","27.68736","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Japan","Female","86.4","86.41145","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Japan","Female","75.1","75.10663","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Japan","Female","28.1","28.12194","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Japan","Female","86.9","86.93782","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Japan","Female","75.5","75.48193","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Japan","Female","28.6","28.55578","","","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Japan","Both sexes","81.1","81.12236","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Japan","Both sexes","71.6","71.57782","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Japan","Both sexes","24.1","24.14569","","","","",""
"Life expectancy at birth (years)","Published","2010","Western Pacific","Japan","Both sexes","82.7","82.68162","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Western Pacific","Japan","Both sexes","73.0","72.97374","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Western Pacific","Japan","Both sexes","25.3","25.26958","","","","",""
"Life expectancy at birth (years)","Published","2015","Western Pacific","Japan","Both sexes","83.6","83.61682","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Western Pacific","Japan","Both sexes","73.6","73.61716","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Western Pacific","Japan","Both sexes","25.9","25.86486","","","","",""
"Life expectancy at birth (years)","Published","2019","Western Pacific","Japan","Both sexes","84.3","84.26138","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Western Pacific","Japan","Both sexes","74.1","74.09376","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Western Pacific","Japan","Both sexes","26.3","26.34808","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Kazakhstan","Male","57.6","57.58092","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Kazakhstan","Male","52.0","51.98139","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Kazakhstan","Male","12.3","12.34197","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Kazakhstan","Male","63.6","63.57526","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Kazakhstan","Male","57.0","56.96284","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Kazakhstan","Male","14.6","14.58363","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Kazakhstan","Male","67.4","67.42753","","","","",""
